,Methods,Protein length,tmscore
0,PVQD,70,0.24197
1,PVQD,70,0.29101
2,PVQD,70,0.33939
3,PVQD,70,0.27472
4,PVQD,70,0.34104
5,PVQD,70,0.37234
6,PVQD,70,0.43518
7,PVQD,70,0.3289
8,PVQD,70,0.36618
9,PVQD,70,0.33435
10,PVQD,70,0.31569
11,PVQD,70,0.37069
12,PVQD,70,0.31244
13,PVQD,70,0.31463
14,PVQD,70,0.33541
15,PVQD,70,0.26831
16,PVQD,70,0.29335
17,PVQD,70,0.42845
18,PVQD,70,0.36003
19,PVQD,70,0.27435
20,PVQD,70,0.47092
21,PVQD,70,0.31645
22,PVQD,70,0.28376
23,PVQD,70,0.31862
24,PVQD,70,0.35419
25,PVQD,70,0.3402
26,PVQD,70,0.35788
27,PVQD,70,0.35535
28,PVQD,70,0.73091
29,PVQD,70,0.32654
30,PVQD,70,0.29793
31,PVQD,70,0.37136
32,PVQD,70,0.33849
33,PVQD,70,0.42024
34,PVQD,70,0.28464
35,PVQD,70,0.32455
36,PVQD,70,0.31994
37,PVQD,70,0.35421
38,PVQD,70,0.30514
39,PVQD,70,0.33635
40,PVQD,70,0.27683
41,PVQD,70,0.30569
42,PVQD,70,0.59617
43,PVQD,70,0.5074
44,PVQD,70,0.36502
45,PVQD,70,0.33523
46,PVQD,70,0.37145
47,PVQD,70,0.26855
48,PVQD,70,0.41429
49,PVQD,70,0.48082
50,PVQD,70,0.39034
51,PVQD,70,0.40037
52,PVQD,70,0.35509
53,PVQD,70,0.3878
54,PVQD,70,0.28709
55,PVQD,70,0.38198
56,PVQD,70,0.27488
57,PVQD,70,0.37942
58,PVQD,70,0.34054
59,PVQD,70,0.31958
60,PVQD,70,0.3311
61,PVQD,70,0.35878
62,PVQD,70,0.35575
63,PVQD,70,0.36138
64,PVQD,70,0.43392
65,PVQD,70,0.36355
66,PVQD,70,0.35256
67,PVQD,70,0.28429
68,PVQD,70,0.26829
69,PVQD,70,0.27159
70,PVQD,70,0.37938
71,PVQD,70,0.38934
72,PVQD,70,0.29463
73,PVQD,70,0.31068
74,PVQD,70,0.37281
75,PVQD,70,0.33738
76,PVQD,70,0.36533
77,PVQD,70,0.36474
78,PVQD,70,0.38712
79,PVQD,70,0.29021
80,PVQD,70,0.39199
81,PVQD,70,0.33093
82,PVQD,70,0.38869
83,PVQD,70,0.32692
84,PVQD,70,0.32185
85,PVQD,70,0.36006
86,PVQD,70,0.33314
87,PVQD,70,0.28652
88,PVQD,70,0.33152
89,PVQD,70,0.27404
90,PVQD,70,0.36952
91,PVQD,70,0.4798
92,PVQD,70,0.28101
93,PVQD,70,0.44866
94,PVQD,70,0.39989
95,PVQD,70,0.35057
96,PVQD,70,0.29563
97,PVQD,70,0.3504
98,PVQD,70,0.44343
99,PVQD,70,0.25122
100,PVQD,70,0.25007
101,PVQD,70,0.22962
102,PVQD,70,0.27315
103,PVQD,70,0.24369
104,PVQD,70,0.21602
105,PVQD,70,0.28382
106,PVQD,70,0.29751
107,PVQD,70,0.25118
108,PVQD,70,0.31657
109,PVQD,70,0.32099
110,PVQD,70,0.23011
111,PVQD,70,0.24094
112,PVQD,70,0.29689
113,PVQD,70,0.32766
114,PVQD,70,0.21113
115,PVQD,70,0.2752
116,PVQD,70,0.24388
117,PVQD,70,0.30748
118,PVQD,70,0.23981
119,PVQD,70,0.27054
120,PVQD,70,0.24384
121,PVQD,70,0.27333
122,PVQD,70,0.24626
123,PVQD,70,0.23926
124,PVQD,70,0.23887
125,PVQD,70,0.28934
126,PVQD,70,0.25833
127,PVQD,70,0.29517
128,PVQD,70,0.30865
129,PVQD,70,0.28572
130,PVQD,70,0.23064
131,PVQD,70,0.26547
132,PVQD,70,0.24914
133,PVQD,70,0.30224
134,PVQD,70,0.23233
135,PVQD,70,0.26865
136,PVQD,70,0.31597
137,PVQD,70,0.31945
138,PVQD,70,0.32906
139,PVQD,70,0.30269
140,PVQD,70,0.2568
141,PVQD,70,0.25836
142,PVQD,70,0.37155
143,PVQD,70,0.31077
144,PVQD,70,0.24516
145,PVQD,70,0.2447
146,PVQD,70,0.26599
147,PVQD,70,0.28819
148,PVQD,70,0.27437
149,PVQD,70,0.2586
150,PVQD,70,0.29434
151,PVQD,70,0.25596
152,PVQD,70,0.32505
153,PVQD,70,0.26108
154,PVQD,70,0.26102
155,PVQD,70,0.34046
156,PVQD,70,0.31237
157,PVQD,70,0.31652
158,PVQD,70,0.24741
159,PVQD,70,0.34384
160,PVQD,70,0.19584
161,PVQD,70,0.31263
162,PVQD,70,0.22147
163,PVQD,70,0.27025
164,PVQD,70,0.2516
165,PVQD,70,0.30194
166,PVQD,70,0.21698
167,PVQD,70,0.238
168,PVQD,70,0.25481
169,PVQD,70,0.27052
170,PVQD,70,0.30756
171,PVQD,70,0.24781
172,PVQD,70,0.34606
173,PVQD,70,0.32343
174,PVQD,70,0.2322
175,PVQD,70,0.32473
176,PVQD,70,0.30191
177,PVQD,70,0.32742
178,PVQD,70,0.2439
179,PVQD,70,0.23855
180,PVQD,70,0.351
181,PVQD,70,0.31099
182,PVQD,70,0.23503
183,PVQD,70,0.20433
184,PVQD,70,0.21383
185,PVQD,70,0.30641
186,PVQD,70,0.2669
187,PVQD,70,0.2194
188,PVQD,70,0.26197
189,PVQD,70,0.2644
190,PVQD,70,0.2872
191,PVQD,70,0.25557
192,PVQD,70,0.30092
193,PVQD,70,0.21786
194,PVQD,70,0.29581
195,PVQD,70,0.25389
196,PVQD,70,0.28941
197,PVQD,70,0.37042
198,PVQD,70,0.18489
199,PVQD,70,0.30407
200,PVQD,70,0.26967
201,PVQD,70,0.33759
202,PVQD,70,0.24248
203,PVQD,70,0.36166
204,PVQD,70,0.25446
205,PVQD,70,0.31662
206,PVQD,70,0.23702
207,PVQD,70,0.29519
208,PVQD,70,0.31918
209,PVQD,70,0.39674
210,PVQD,70,0.30394
211,PVQD,70,0.21753
212,PVQD,70,0.31544
213,PVQD,70,0.42111
214,PVQD,70,0.29702
215,PVQD,70,0.28395
216,PVQD,70,0.32451
217,PVQD,70,0.33207
