,Methods,Protein length,scRMSD
0,PVQD,70,0.868
1,PVQD,70,11.385
2,PVQD,100,2.186
3,PVQD,70,3.208
4,PVQD,100,1.331
5,PVQD,200,12.569
6,PVQD,100,1.689
7,PVQD,400,9.711
8,PVQD,400,1.741
9,PVQD,70,1.321
10,PVQD,70,1.144
11,PVQD,400,3.146
12,PVQD,100,1.768
13,PVQD,100,3.585
14,PVQD,400,21.057
15,PVQD,100,1.695
16,PVQD,70,1.541
17,PVQD,100,3.406
18,PVQD,70,8.378
19,PVQD,200,4.233
20,PVQD,200,1.15
21,PVQD,200,4.614
22,PVQD,200,1.81
23,PVQD,100,1.158
24,PVQD,100,5.124
25,PVQD,200,6.814
26,PVQD,70,0.747
27,PVQD,400,4.86
28,PVQD,200,2.011
29,PVQD,400,3.187
30,PVQD,100,1.709
31,PVQD,400,1.887
32,PVQD,100,11.373
33,PVQD,400,1.588
34,PVQD,100,2.149
35,PVQD,400,10.463
36,PVQD,70,1.655
37,PVQD,200,1.365
38,PVQD,200,3.752
39,PVQD,100,1.006
40,PVQD,100,8.736
41,PVQD,200,2.547
42,PVQD,400,3.436
43,PVQD,200,1.856
44,PVQD,100,1.274
45,PVQD,70,0.912
46,PVQD,70,2.63
47,PVQD,100,4.071
48,PVQD,200,3.115
49,PVQD,200,15.931
50,PVQD,70,1.191
51,PVQD,100,3.61
52,PVQD,100,2.834
53,PVQD,400,16.944
54,PVQD,100,1.693
55,PVQD,400,6.47
56,PVQD,400,2.59
57,PVQD,400,9.743
58,PVQD,200,3.211
59,PVQD,100,0.923
60,PVQD,200,9.61
61,PVQD,100,1.786
62,PVQD,70,1.067
63,PVQD,200,0.76
64,PVQD,200,7.505
65,PVQD,100,2.052
66,PVQD,70,1.163
67,PVQD,400,10.043
68,PVQD,200,3.49
69,PVQD,70,0.967
70,PVQD,400,3.172
71,PVQD,200,4.644
72,PVQD,100,1.48
73,PVQD,70,2.119
74,PVQD,70,2.741
75,PVQD,400,16.147
76,PVQD,100,1.962
77,PVQD,200,2.286
78,PVQD,100,1.299
79,PVQD,70,14.901
80,PVQD,70,1.245
81,PVQD,70,2.355
82,PVQD,70,2.961
83,PVQD,70,1.088
84,PVQD,400,1.911
85,PVQD,400,11.304
86,PVQD,200,0.96
87,PVQD,100,2.982
88,PVQD,400,6.726
