,pdbchain,all_len,Recovery rate,Aligned len,Protein length,recTM-score,recRMSD
4039,3sxm_B,137,0.31386861313868614,1.0,100,0.99347,0.35
3983,4nqf_A,145,0.296551724137931,1.0,100,0.99359,0.36
4224,6jfw_B,141,0.3333333333333333,1.0,100,0.99318,0.37
3369,3fxh_A,113,0.23893805309734514,1.0,100,0.9912,0.37
1902,6w70_C,126,0.2698412698412698,1.0,100,0.99143,0.39
1145,4iwk_D,158,0.6012658227848101,1.0,200,0.99295,0.4
601,2oiw_B,133,0.3082706766917293,1.0,100,0.99141,0.4
2428,4k02_B,127,0.30708661417322836,1.0,100,0.99097,0.4
3727,2qvg_A,129,0.3953488372093023,1.0,100,0.99099,0.4
1180,1ax8_A,130,0.3076923076923077,1.0,100,0.99106,0.4
2836,4iwk_A,158,0.6012658227848101,1.0,200,0.99262,0.41
61,1or4_B,158,0.2088607594936709,1.0,200,0.99244,0.41
441,3h5i_A,125,0.36,1.0,100,0.99037,0.41
1759,1v4p_A,151,0.2980132450331126,1.0,200,0.9922,0.41
3298,1fth_A,117,0.3504273504273504,1.0,100,0.98968,0.41
1782,6jfw_D,141,0.36879432624113473,1.0,100,0.99159,0.41
692,5xub_B,141,0.24113475177304963,1.0,100,0.9916,0.41
3766,3u4v_A,116,0.25862068965517243,1.0,100,0.98895,0.42
3665,2gdm_A,153,0.35947712418300654,1.0,200,0.99164,0.42
1402,6w3w_A,107,0.3364485981308411,1.0,100,0.98829,0.42
3341,3cu5_A,124,0.31451612903225806,1.0,100,0.98976,0.42
536,6ceq_B,111,0.2882882882882883,1.0,100,0.9887,0.42
580,4iwk_B,156,0.6217948717948718,1.0,200,0.99185,0.42
4229,1gqo_N,132,0.6666666666666666,1.0,100,0.99046,0.42
1550,1v7p_C,193,0.31088082901554404,1.0,200,0.9935,0.42
1532,6nd9_C,191,0.3089005235602094,1.0,200,0.99342,0.42
1771,1y5e_A,157,0.3885350318471338,1.0,200,0.99205,0.42
3003,1z54_D,130,0.36153846153846153,1.0,100,0.99036,0.42
1783,3azc_A,133,0.40601503759398494,1.0,100,0.99024,0.43
3438,3kpb_A,119,0.3445378151260504,1.0,100,0.98888,0.43
3071,6d0t_B,109,0.3119266055045872,1.0,100,0.98806,0.43
1085,3wpw_B,149,0.35570469798657717,1.0,100,0.99116,0.43
3677,4h5b_A,152,0.21710526315789475,1.0,200,0.99133,0.43
3144,2bd0_C,240,0.37916666666666665,1.0,200,0.99436,0.43
1261,3hdg_B,123,0.34959349593495936,1.0,100,0.98946,0.43
2375,1x9f_A,147,0.36054421768707484,1.0,100,0.9912,0.43
173,2zay_A,123,0.3170731707317073,1.0,100,0.98953,0.43
4276,1v4p_B,151,0.39072847682119205,1.0,200,0.99089,0.44
4205,1gqo_K,136,0.6764705882352942,1.0,100,0.98973,0.44
3059,2zay_B,123,0.2764227642276423,1.0,100,0.98853,0.44
1164,6lm1_B,226,0.27876106194690264,1.0,200,0.99388,0.44
3893,2is8_C,159,0.389937106918239,1.0,200,0.99146,0.44
3419,1y5e_C,161,0.40993788819875776,1.0,200,0.99182,0.44
220,4tpv_A,182,0.25274725274725274,1.0,200,0.99262,0.44
2427,4k02_A,127,0.30708661417322836,1.0,100,0.98912,0.44
4116,1l3i_D,186,0.43010752688172044,1.0,200,0.99273,0.44
922,6w70_A,126,0.2619047619047619,1.0,100,0.98906,0.44
1105,6nd9_F,191,0.3036649214659686,1.0,200,0.9928,0.44
989,6nd9_I,191,0.3193717277486911,1.0,200,0.99274,0.44
810,1yad_D,190,0.3684210526315789,1.0,200,0.99276,0.44
4240,2gc7_O,105,0.2857142857142857,1.0,100,0.98648,0.44
1093,6nd9_L,191,0.29842931937172773,1.0,200,0.99274,0.44
11,4png_A,221,0.3574660633484163,1.0,200,0.99379,0.44
2280,4rw0_B,183,0.31693989071038253,1.0,200,0.99265,0.44
1010,5eo4_B,155,0.2838709677419355,1.0,200,0.99125,0.44
